,公司代號,公司名稱,實收資本額
308,2375,凱美電機股份有限公司,1358441680
309,2376,技嘉科技股份有限公司,6356888860
310,2377,微星科技股份有限公司,8448561990
311,2379,瑞昱半導體股份有限公司,5106848750
312,2380,虹光精密工業股份有限公司,1794440840
313,2382,廣達電腦股份有限公司,38626274320
314,2383,台光電子材料股份有限公司,3329182990
315,2385,群光電子股份有限公司,7452927490
316,2387,精元電腦股份有限公司,1962979520
317,2388,威盛電子股份有限公司,4943959410
318,2390,云辰電子開發股份有限公司,2140216020
319,2392,正崴精密工業股份有限公司,5123269400
320,2393,億光電子工業股份有限公司,4433930860
321,2395,研華股份有限公司,7726405110
322,2397,友通資訊股份有限公司,1146888570
323,2399,映泰股份有限公司,1781000000
324,2401,凌陽科技股份有限公司,5919949190
325,2402,毅嘉科技股份有限公司,3075365330
326,2404,漢唐集成股份有限公司,1905866980
327,2405,浩鑫股份有限公司,3434273030
328,2406,國碩科技工業股份有限公司,2859056890
329,2408,南亞科技股份有限公司,30970118940
330,2409,友達光電股份有限公司,96242451150
331,2412,中華電信股份有限公司,77574465450
332,2413,環隆科技股份有限公司,1273592000
333,2414,精技電腦股份有限公司,1617358460
334,2415,錩新科技股份有限公司,800000000
335,2417,圓剛科技股份有限公司,1928923300
336,2419,仲琦科技股份有限公司,3289862290
337,2420,新巨企業股份有限公司,1526486880
338,2421,建準電機工業股份有限公司,2509297320
339,2423,固緯電子實業股份有限公司,1450472890
340,2424,隴華電子股份有限公司,270250000
341,2425,承啟科技股份有限公司,1014988310
342,2426,鼎元光電科技股份有限公司,3006222520
343,2427,三商電腦股份有限公司,1843144630
344,2428,興勤電子工業股份有限公司,1281127260
345,2429,銘旺科技股份有限公司,397482000
346,2430,燦坤實業股份有限公司,1664688250
347,2431,聯昌電子企業股份有限公司,1109270140
348,2433,互盛股份有限公司,1444960110
349,2434,統懋半導體股份有限公司,370000000
350,2436,偉詮電子股份有限公司,1780099610
351,2438,翔耀實業股份有限公司,601956410
352,2439,美律實業股份有限公司,2096936420
353,2440,太空梭高傳真資訊科技(股)公司,1391172710
354,2441,超豐電子股份有限公司,5688459210
355,2442,新美齊股份有限公司,2399693510
356,2443,億麗科技股份有限公司,1456870000
357,2444,兆勁科技股份有限公司,1055575730
358,2449,京元電子股份有限公司,12227450650
359,2450,神腦國際企業股份有限公司,2582526570
360,2451,創見資訊股份有限公司,4290616750
361,2453,凌群電腦股份有限公司,1000000000
362,2454,聯發科技股份有限公司,15903357880
363,2455,全新光電科技股份有限公司,1849059180
364,2456,奇力新電子股份有限公司,2634531930
365,2457,飛宏科技股份有限公司,3376884160
366,2458,義隆電子股份有限公司,3038803920
367,2459,敦吉科技股份有限公司,1055956150
368,2460,建通精密工業股份有限公司,1692000000
369,2461,光群雷射科技股份有限公司,1593246310
370,2462,台灣良得電子股份有限公司,1419345960
371,2464,盟立自動化股份有限公司,1955312260
372,2465,麗臺科技股份有限公司,535873010
373,2466,冠西電子企業股份有限公司,1563342260
374,2467,志聖工業股份有限公司,1492055480
375,2468,華經資訊企業股份有限公司,699612490
376,2471,資通電腦股份有限公司,472538900
377,2472,立隆電子工業股份有限公司,1594201700
378,2474,可成科技股份有限公司,7616180690
379,2476,鉅祥企業股份有限公司,1849682980
380,2477,美隆工業股份有限公司,1982165550
381,2478,大毅科技股份有限公司,1447376390
382,2480,敦陽科技股份有限公司,1063602910
383,2481,強茂股份有限公司,3328149270
384,2482,連宇股份有限公司,620725490
385,2483,百容電子股份有限公司,1090938070
386,2484,希華晶體科技股份有限公司,1594210220
387,2485,兆赫電子股份有限公司,3176890370
388,2486,一詮精密工業股份有限公司,2019585790
389,2488,漢平電子工業股份有限公司,799994330
390,2489,瑞軒科技股份有限公司,8093620450
391,2491,吉祥全球實業股份有限公司,820080000
392,2492,華新科技股份有限公司,4858042990
393,2493,揚博科技股份有限公司,1144373900
394,2495,普安科技股份有限公司,2735515380
395,2496,卓越成功股份有限公司,191854400
396,2497,怡利電子工業股份有限公司,1187984630
397,2498,宏達國際電子股份有限公司,8186443850
398,2501,國泰建設股份有限公司,11595610590
399,2504,國產建材實業股份有限公司,11800000000
400,2505,國揚實業股份有限公司,3800000000
401,2506,太平洋建設股份有限公司,3870000000
402,2509,全坤建設開發股份有限公司,2245505300
403,2511,太子建設開發股份有限公司,16233261470
404,2514,龍邦國際興業股份有限公司,3947292780
405,2515,中華工程股份有限公司,15308998220
406,2516,新亞建設開發股份有限公司,2262784570
407,2520,冠德建設股份有限公司,5037910000
408,2524,京城建設股份有限公司,3711930980
409,2527,宏璟建設股份有限公司,2703060000
410,2528,皇普建設股份有限公司,3299974090
411,2530,大華建設股份有限公司,5207524660
412,2534,宏盛建設股份有限公司,4742279700
413,2535,達欣工程股份有限公司,3370377270
